[tuning_coarse_W030] 1/768 tasks, elapsed=2.2s, eta=1663.6s
[tuning_coarse_W030] 25/768 tasks, elapsed=35.7s, eta=1060.5s
[tuning_coarse_W030] 50/768 tasks, elapsed=83.5s, eta=1198.7s
[tuning_coarse_W030] 75/768 tasks, elapsed=86.7s, eta=800.9s
[tuning_coarse_W030] 100/768 tasks, elapsed=87.7s, eta=586.1s
[tuning_coarse_W030] 125/768 tasks, elapsed=88.5s, eta=455.4s
[tuning_coarse_W030] 150/768 tasks, elapsed=89.3s, eta=367.9s
[tuning_coarse_W030] 175/768 tasks, elapsed=90.0s, eta=304.9s
[tuning_coarse_W030] 200/768 tasks, elapsed=90.7s, eta=257.6s
[tuning_coarse_W030] 225/768 tasks, elapsed=91.4s, eta=220.6s
[tuning_coarse_W030] 250/768 tasks, elapsed=92.1s, eta=190.7s
[tuning_coarse_W030] 275/768 tasks, elapsed=92.8s, eta=166.4s
[tuning_coarse_W030] 300/768 tasks, elapsed=93.5s, eta=145.9s
[tuning_coarse_W030] 325/768 tasks, elapsed=94.3s, eta=128.5s
[tuning_coarse_W030] 350/768 tasks, elapsed=94.9s, eta=113.3s
[tuning_coarse_W030] 375/768 tasks, elapsed=95.6s, eta=100.2s
[tuning_coarse_W030] 400/768 tasks, elapsed=96.4s, eta=88.7s
[tuning_coarse_W030] 425/768 tasks, elapsed=97.0s, eta=78.3s
[tuning_coarse_W030] 450/768 tasks, elapsed=97.7s, eta=69.0s
[tuning_coarse_W030] 475/768 tasks, elapsed=98.4s, eta=60.7s
[tuning_coarse_W030] 500/768 tasks, elapsed=99.0s, eta=53.1s
[tuning_coarse_W030] 525/768 tasks, elapsed=99.7s, eta=46.1s
[tuning_coarse_W030] 550/768 tasks, elapsed=100.3s, eta=39.8s
[tuning_coarse_W030] 575/768 tasks, elapsed=100.9s, eta=33.9s
[tuning_coarse_W030] 600/768 tasks, elapsed=101.4s, eta=28.4s
[tuning_coarse_W030] 625/768 tasks, elapsed=101.8s, eta=23.3s
[tuning_coarse_W030] 650/768 tasks, elapsed=102.2s, eta=18.5s
[tuning_coarse_W030] 675/768 tasks, elapsed=102.6s, eta=14.1s
[tuning_coarse_W030] 700/768 tasks, elapsed=103.0s, eta=10.0s
[tuning_coarse_W030] 725/768 tasks, elapsed=103.4s, eta=6.1s
[tuning_coarse_W030] 750/768 tasks, elapsed=103.8s, eta=2.5s
[tuning_coarse_W030] 768/768 tasks, elapsed=104.2s, eta=0.0s
[tuning_fine_W030] 1/9 tasks, elapsed=15.9s, eta=127.3s
[tuning_fine_W030] 2/9 tasks, elapsed=15.9s, eta=55.8s
[tuning_fine_W030] 3/9 tasks, elapsed=16.0s, eta=32.1s
[tuning_fine_W030] 4/9 tasks, elapsed=16.2s, eta=20.3s
[tuning_fine_W030] 5/9 tasks, elapsed=16.3s, eta=13.0s
[tuning_fine_W030] 6/9 tasks, elapsed=16.3s, eta=8.2s
[tuning_fine_W030] 7/9 tasks, elapsed=16.4s, eta=4.7s
[tuning_fine_W030] 8/9 tasks, elapsed=16.4s, eta=2.1s
[tuning_fine_W030] 9/9 tasks, elapsed=16.7s, eta=0.0s
[final_replicates_W030] 1/90 tasks, elapsed=2.4s, eta=211.4s
[final_replicates_W030] 4/90 tasks, elapsed=2.6s, eta=55.5s
[final_replicates_W030] 8/90 tasks, elapsed=2.7s, eta=27.4s
[final_replicates_W030] 12/90 tasks, elapsed=2.8s, eta=18.1s
[final_replicates_W030] 16/90 tasks, elapsed=2.9s, eta=13.3s
[final_replicates_W030] 20/90 tasks, elapsed=3.0s, eta=10.6s
[final_replicates_W030] 24/90 tasks, elapsed=3.1s, eta=8.5s
[final_replicates_W030] 28/90 tasks, elapsed=3.2s, eta=7.1s
[final_replicates_W030] 32/90 tasks, elapsed=28.6s, eta=51.8s
[final_replicates_W030] 36/90 tasks, elapsed=29.0s, eta=43.5s
[final_replicates_W030] 40/90 tasks, elapsed=29.6s, eta=37.0s
[final_replicates_W030] 44/90 tasks, elapsed=54.3s, eta=56.8s
[final_replicates_W030] 48/90 tasks, elapsed=54.7s, eta=47.8s
[final_replicates_W030] 52/90 tasks, elapsed=55.6s, eta=40.6s
[final_replicates_W030] 56/90 tasks, elapsed=55.9s, eta=33.9s
[final_replicates_W030] 60/90 tasks, elapsed=56.3s, eta=28.2s
[final_replicates_W030] 64/90 tasks, elapsed=56.8s, eta=23.1s
[final_replicates_W030] 68/90 tasks, elapsed=57.1s, eta=18.5s
[final_replicates_W030] 72/90 tasks, elapsed=57.5s, eta=14.4s
[final_replicates_W030] 76/90 tasks, elapsed=57.8s, eta=10.6s
[final_replicates_W030] 80/90 tasks, elapsed=58.1s, eta=7.3s
[final_replicates_W030] 84/90 tasks, elapsed=77.2s, eta=5.5s
[final_replicates_W030] 88/90 tasks, elapsed=78.0s, eta=1.8s
[final_replicates_W030] 90/90 tasks, elapsed=78.6s, eta=0.0s
D:\大二上学习资料\数模国赛\projects\2026-summer-assignment\solutions\problem-a-ambulance-dispatch\results\task-2\selected_policy.json
