[task-3] 1/600 scenarios, elapsed=17.9s
[task-3] 30/600 scenarios, elapsed=66.8s
[task-3] 60/600 scenarios, elapsed=134.1s
[task-3] 90/600 scenarios, elapsed=193.2s
[task-3] 120/600 scenarios, elapsed=240.4s
[task-3] 150/600 scenarios, elapsed=297.4s
[task-3] 180/600 scenarios, elapsed=353.9s
[task-3] 210/600 scenarios, elapsed=410.5s
[task-3] 240/600 scenarios, elapsed=458.0s
[task-3] 270/600 scenarios, elapsed=511.5s
[task-3] 300/600 scenarios, elapsed=569.1s
[task-3] 330/600 scenarios, elapsed=618.6s
[task-3] 360/600 scenarios, elapsed=662.2s
[task-3] 390/600 scenarios, elapsed=706.3s
[task-3] 420/600 scenarios, elapsed=755.1s
[task-3] 450/600 scenarios, elapsed=804.2s
[task-3] 480/600 scenarios, elapsed=851.9s
[task-3] 510/600 scenarios, elapsed=891.6s
[task-3] 540/600 scenarios, elapsed=941.0s
[task-3] 570/600 scenarios, elapsed=989.4s
[task-3] 600/600 scenarios, elapsed=1035.9s
D:\大二上学习资料\数模国赛\projects\2026-summer-assignment\solutions\problem-a-ambulance-dispatch\results\task-3\summary.csv
